Record ID,Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Record Source
484985,CA03612,Victorville,Municipal Police,San Bernardino,California,2005,July,1,Murder or Manslaughter,No,Male,18,White,Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,1,0,FBI
608446,TX10100,Harris County,Sheriff,Harris,Texas,2013,May,3,Murder or Manslaughter,No,Male,27,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
417613,AR06200,St. Francis,Sheriff,St. Francis,Arkansas,2001,June,1,Murder or Manslaughter,Yes,Male,42,Black,Not Hispanic,Male,18,Black,Not Hispanic,Acquaintance,Handgun,0,0,FBI
372693,AZ01003,Tucson,Municipal Police,Pima,Arizona,1998,March,6,Murder or Manslaughter,No,Male,44,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
402029,WA02400,Okanogan,Sheriff,Okanogan,Washington,1999,August,1,Murder or Manslaughter,Yes,Female,15,White,Unknown,Male,20,White,Unknown,Girlfriend,Rifle,0,0,FBI
541092,MI40502,Kalkaska,Municipal Police,Kalkaska,Michigan,2008,August,1,Murder or Manslaughter,Yes,Male,3,White,Unknown,Male,25,White,Unknown,Unknown,Blunt Object,0,2,FBI
432592,WA03200,Spokane,Sheriff,Spokane,Washington,2001,March,1,Murder or Manslaughter,No,Male,37,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
489736,MDBPD00,Baltimore,Municipal Police,Baltimore city,Maryland,2005,January,13,Murder or Manslaughter,No,Male,22,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
630058,LA02800,Lafayette County,Sheriff,Lafayette,Louisiana,2014,February,1,Murder or Manslaughter,Yes,Male,49,White,Not Hispanic,Male,15,Black,Not Hispanic,Husband,Firearm,0,0,FBI
558146,NC03606,Gastonia,Municipal Police,Gaston,North Carolina,2009,April,1,Murder or Manslaughter,Yes,Female,17,Black,Not Hispanic,Male,21,Black,Not Hispanic,Stranger,Handgun,0,1,FBI
480866,TXHPD00,Houston,Municipal Police,Harris,Texas,2004,October,21,Murder or Manslaughter,Yes,Male,37,White,Hispanic,Male,0,White,Hispanic,Unknown,Handgun,0,1,FBI
150361,MI82349,Detroit,Municipal Police,Wayne,Michigan,1987,August,57,Murder or Manslaughter,No,Female,35,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
277507,MA01460,Worcester,Municipal Police,Worcester,Massachusetts,1993,August,1,Murder or Manslaughter,Yes,Male,71,Black,Unknown,Female,39,Black,Unknown,Friend,Firearm,0,0,FBI
295371,CA03801,San Francisco,Municipal Police,San Francisco,California,1994,June,4,Murder or Manslaughter,Yes,Male,23,White,Not Hispanic,Male,55,Black,Not Hispanic,Stranger,Handgun,0,0,FBI
53995,MDBPD00,Baltimore,Municipal Police,Baltimore city,Maryland,1982,January,7,Murder or Manslaughter,Yes,Male,52,White,Not Hispanic,Male,17,White,Not Hispanic,Acquaintance,Knife,0,1,FBI
502863,DCMPD00,Washington,Municipal Police,District of Columbia,District of Columbia,2006,May,1,Murder or Manslaughter,No,Male,27,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FOIA
284095,NY312SC,State Police: Delaware County (C),State Police,Delaware,New York,1993,December,1,Murder or Manslaughter,Yes,Female,34,White,Unknown,Male,27,White,Unknown,Acquaintance,Rifle,0,1,FBI
223718,CA03313,Riverside,Municipal Police,Riverside,California,1991,September,1,Murder or Manslaughter,Yes,Female,28,White,Hispanic,Female,26,White,Not Hispanic,Stranger,Blunt Object,0,0,FBI
387391,VA12200,Richmond,Municipal Police,Richmond,Virginia,1998,May,5,Murder or Manslaughter,No,Male,20,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
628671,GAAPD00,Atlanta,Municipal Police,Fulton,Georgia,2014,August,2,Murder or Manslaughter,Yes,Male,25,Black,Not Hispanic,Female,21,Black,Not Hispanic,Boyfriend,Knife,0,0,FBI
173356,OH05009,Youngstown,Municipal Police,Mahoning,Ohio,1988,January,2,Murder or Manslaughter,No,Female,99,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Fire,0,0,FBI
324712,MI33519,Lansing,Municipal Police,Ingham,Michigan,1995,August,1,Murder or Manslaughter,No,Female,34,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,1,0,FBI
632113,MS07200,Tunica County,Sheriff,Tunica,Mississippi,2014,June,1,Murder or Manslaughter,Yes,Male,0,Black,Not Hispanic,Male,29,Black,Not Hispanic,Son,Blunt Object,0,0,FBI
449865,AZ00723,Phoenix,Municipal Police,Maricopa,Arizona,2003,May,4,Murder or Manslaughter,No,Male,23,White,Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
355944,CA01942,Los Angeles,Municipal Police,Los Angeles,California,1997,February,28,Murder or Manslaughter,Yes,Male,58,White,Unknown,Male,28,White,Unknown,Friend,Shotgun,2,0,FBI
368608,SC03205,West Columbia,Municipal Police,Lexington,South Carolina,1997,January,1,Murder or Manslaughter,Yes,Male,35,White,Unknown,Male,23,White,Unknown,Stranger,Knife,0,0,FBI
423569,KY05602,Louisville,Municipal Police,Jefferson,Kentucky,2001,June,1,Murder or Manslaughter,Yes,Female,32,Black,Unknown,Male,37,Black,Unknown,Girlfriend,Handgun,0,0,FBI
14490,NY02906,Hempstead Village,Municipal Police,Nassau,New York,1980,February,1,Murder or Manslaughter,Yes,Male,79,White,Unknown,Male,17,Black,Unknown,Stranger,Blunt Object,0,1,FBI
284878,OK05506,Oklahoma City,Municipal Police,Oklahoma,Oklahoma,1993,June,8,Murder or Manslaughter,Yes,Male,7,Black,Unknown,Male,27,Black,Unknown,Stepdaughter,Knife,4,0,FBI
522074,GAAPD00,Atlanta,Municipal Police,Fulton,Georgia,2007,June,12,Murder or Manslaughter,Yes,Male,22,Black,Not Hispanic,Male,0,Black,Not Hispanic,Unknown,Shotgun,0,1,FBI
86755,CA01942,Los Angeles,Municipal Police,Los Angeles,California,1984,September,30,Murder or Manslaughter,Yes,Female,55,White,Not Hispanic,Male,21,Black,Not Hispanic,Stranger,Blunt Object,0,0,FBI
612723,CA04708,Weed,Municipal Police,Siskiyou,California,2012,March,1,Murder or Manslaughter,Yes,Male,86,White,Not Hispanic,Male,34,White,Not Hispanic,Stranger,Blunt Object,0,1,FBI
477644,OHCIP00,Cincinnati,Special Police,Hamilton,Ohio,2004,April,3,Murder or Manslaughter,Yes,Male,30,Black,Unknown,Male,23,Black,Unknown,Unknown,Handgun,0,0,FBI
198026,WA01000,Ferry,Sheriff,Ferry,Washington,1989,June,1,Murder or Manslaughter,Yes,Male,30,White,Unknown,Male,25,White,Unknown,In-Law,Knife,0,0,FBI
565132,AR06601,Fort Smith,Municipal Police,Sebastian,Arkansas,2010,April,2,Murder or Manslaughter,Yes,Female,28,White,Unknown,Male,33,Black,Unknown,Unknown,Firearm,0,0,FBI
205600,ILCPD00,Chicago,Municipal Police,Cook,Illinois,1990,January,59,Murder or Manslaughter,Yes,Male,46,Black,Unknown,Male,39,Black,Unknown,Acquaintance,Knife,0,0,FBI
71032,IL01647,Hillside,Municipal Police,Cook,Illinois,1983,February,1,Murder or Manslaughter,No,Female,20,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
569121,GA01701,Waynesboro,Municipal Police,Burke,Georgia,2010,June,1,Murder or Manslaughter,Yes,Female,83,Black,Unknown,Male,37,Black,Unknown,Unknown,Knife,1,0,FBI
557512,MOKPD00,Kansas City,Municipal Police,Jackson,Missouri,2009,May,1,Murder or Manslaughter,Yes,Male,21,Black,Unknown,Male,32,Black,Unknown,Unknown,Handgun,0,1,FBI
499086,AL04401,Athens,Municipal Police,Limestone,Alabama,2006,December,1,Murder or Manslaughter,Yes,Male,64,Black,Unknown,Male,20,Black,Unknown,Acquaintance,Handgun,0,0,FBI
434180,CA01502,Bakersfield,Municipal Police,Kern,California,2002,September,3,Murder or Manslaughter,Yes,Male,1,White,Hispanic,Male,20,White,Hispanic,Family,Blunt Object,0,0,FBI
54209,ME00105,Lisbon,Municipal Police,Androscoggin,Maine,1982,September,1,Murder or Manslaughter,Yes,Female,25,White,Unknown,Male,32,White,Unknown,Wife,Shotgun,0,0,FBI
394007,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,1999,August,4,Murder or Manslaughter,Yes,Female,43,Black,Unknown,Male,0,Black,Unknown,Unknown,Handgun,0,0,FBI
145896,FL00608,Pembroke Pines,Municipal Police,Broward,Florida,1987,January,1,Murder or Manslaughter,No,Male,22,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
194091,PAPEP00,Philadelphia,Municipal Police,Philadelphia,Pennsylvania,1989,March,1,Murder or Manslaughter,No,Male,28,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
607631,SC02401,Greenwood,Municipal Police,Greenwood,South Carolina,2013,March,1,Murder or Manslaughter,No,Male,30,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,4,FBI
109908,LA00901,Shreveport,Municipal Police,Caddo,Louisiana,1985,January,4,Murder or Manslaughter,Yes,Female,29,Black,Not Hispanic,Male,30,Black,Not Hispanic,Girlfriend,Blunt Object,0,0,FBI
557509,MOKPD00,Kansas City,Municipal Police,Jackson,Missouri,2009,April,13,Murder or Manslaughter,Yes,Male,17,Black,Not Hispanic,Male,19,Black,Not Hispanic,Stranger,Handgun,0,0,FBI
371529,WIMPD00,Milwaukee,Municipal Police,Milwaukee,Wisconsin,1997,January,10,Murder or Manslaughter,No,Female,84,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
1183,CA00109,Oakland,Municipal Police,Alameda,California,1980,August,11,Murder or Manslaughter,No,Male,83,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FBI
169557,MOSPD00,St. Louis,Municipal Police,St. Louis city,Missouri,1988,August,1,Murder or Manslaughter,No,Male,69,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
558913,NM00700,Dona Ana,Sheriff,Dona Ana,New Mexico,2009,July,1,Murder or Manslaughter,Yes,Male,99,White,Unknown,Female,21,White,Unknown,Son,Unknown,0,0,FBI
33855,MI82349,Detroit,Municipal Police,Wayne,Michigan,1981,August,36,Murder or Manslaughter,No,Male,22,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
553575,FL06401,Daytona Beach,Municipal Police,Volusia,Florida,2009,October,645,Murder or Manslaughter,Yes,Male,27,Black,Unknown,Male,24,Black,Unknown,Unknown,Firearm,0,0,FOIA
41909,TX19803,Hearne,Municipal Police,Robertson,Texas,1981,May,1,Murder or Manslaughter,Yes,Male,19,White,Hispanic,Male,0,White,Hispanic,Acquaintance,Knife,0,0,FBI
62176,TX03113,South Padre Island,Municipal Police,Cameron,Texas,1982,June,1,Murder or Manslaughter,Yes,Male,32,White,Not Hispanic,Male,28,White,Hispanic,Unknown,Knife,0,0,FBI
189622,NC02000,Cherokee,Sheriff,Cherokee,North Carolina,1989,March,1,Murder or Manslaughter,Yes,Male,44,White,Not Hispanic,Male,55,White,Not Hispanic,Acquaintance,Shotgun,0,0,FBI
458312,MO08101,Rolla,Municipal Police,Phelps,Missouri,2003,October,1,Murder or Manslaughter,Yes,Male,1,White,Not Hispanic,Male,23,White,Not Hispanic,Son,Blunt Object,0,0,FBI
213909,OHCOP00,Columbus,Municipal Police,Franklin,Ohio,1990,August,5,Murder or Manslaughter,No,Male,36,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
1791,CA01905,Azusa,Municipal Police,Los Angeles,California,1980,December,1,Murder or Manslaughter,Yes,Female,23,White,Not Hispanic,Male,30,White,Hispanic,Unknown,Knife,0,0,FBI
609545,VA05300,Loudoun County,Sheriff,Loudoun,Virginia,2013,May,1,Murder or Manslaughter,Yes,Male,52,White,Unknown,Female,43,White,Unknown,Husband,Firearm,0,0,FBI
252361,KS10502,Kansas City,Municipal Police,Wyandotte,Kansas,1992,September,5,Murder or Manslaughter,Yes,Male,19,Black,Unknown,Male,18,Black,Unknown,Unknown,Handgun,0,0,FBI
190685,NMNSP00,New Mexico State Police,State Police,Santa Fe,New Mexico,1989,April,2,Murder or Manslaughter,No,Male,35,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
571134,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,2010,February,1,Murder or Manslaughter,No,Male,23,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,1,0,FBI
435253,CA01942,Los Angeles,Municipal Police,Los Angeles,California,2002,December,26,Murder or Manslaughter,Yes,Female,44,White,Hispanic,Male,45,White,Hispanic,Wife,Blunt Object,0,0,FBI
608803,TX22012,Fort Worth,Municipal Police,Tarrant,Texas,2013,August,4,Murder or Manslaughter,Yes,Male,43,White,Unknown,Male,71,White,Unknown,Unknown,Handgun,0,0,FBI
567552,CO02101,Colorado Springs,Municipal Police,El Paso,Colorado,2010,June,1,Murder or Manslaughter,Yes,Male,27,White,Unknown,Male,42,Black,Unknown,Unknown,Handgun,0,0,FBI
596693,CA01502,Bakersfield,Municipal Police,Kern,California,2013,July,2,Murder or Manslaughter,Yes,Male,23,Black,Not Hispanic,Female,16,Black,Not Hispanic,Stranger,Firearm,1,1,FBI
633654,NY03030,New York,Municipal Police,New York,New York,2014,April,11,Murder or Manslaughter,Yes,Male,35,White,Hispanic,Male,24,White,Unknown,Stranger,Knife,0,0,FBI
25821,CA01975,West Covina,Municipal Police,Los Angeles,California,1981,November,1,Murder or Manslaughter,Yes,Male,29,White,Not Hispanic,Female,33,White,Not Hispanic,Husband,Knife,0,0,FBI
346930,NJ00906,Jersey City,Municipal Police,Hudson,New Jersey,1996,April,3,Murder or Manslaughter,Yes,Male,37,White,Unknown,Female,34,White,Unknown,Acquaintance,Handgun,0,0,FBI
125361,CO06202,Greeley,Municipal Police,Weld,Colorado,1986,October,1,Murder or Manslaughter,Yes,Female,26,White,Hispanic,Male,24,White,Hispanic,Wife,Knife,0,0,FBI
324977,MI82349,Detroit,Municipal Police,Wayne,Michigan,1995,February,24,Murder or Manslaughter,No,Male,38,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
246462,CA03313,Riverside,Municipal Police,Riverside,California,1992,June,2,Murder or Manslaughter,Yes,Male,23,White,Not Hispanic,Male,18,Black,Not Hispanic,Unknown,Knife,0,0,FBI
421541,FL05214,St. Petersburg,Municipal Police,Pinellas,Florida,2001,February,618,Murder or Manslaughter,No,Female,42,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FOIA
1114,CA00109,Oakland,Municipal Police,Alameda,California,1980,January,9,Murder or Manslaughter,Yes,Male,21,White,Unknown,Male,28,Black,Unknown,Unknown,Unknown,0,0,FBI
638131,WA03204,Spokane,Municipal Police,Spokane,Washington,2014,April,1,Murder or Manslaughter,Yes,Female,46,White,Unknown,Male,37,White,Not Hispanic,Girlfriend,Knife,0,0,FBI
206134,IN359SP,State Police: Orange County,State Police,Orange,Indiana,1990,November,1,Murder or Manslaughter,Yes,Male,84,White,Unknown,Male,31,White,Unknown,Family,Shotgun,0,0,FBI
396392,NC06001,Charlotte-Mecklenburg,Municipal Police,Mecklenburg,North Carolina,1999,August,3,Murder or Manslaughter,Yes,Female,23,Black,Not Hispanic,Male,18,Black,Not Hispanic,Acquaintance,Handgun,0,2,FBI
623760,WA03100,Snohomish County,Sheriff,Snohomish,Washington,2012,January,1,Murder or Manslaughter,Yes,Male,54,White,Unknown,Male,22,Asian/Pacific Islander,Unknown,Stranger,Handgun,0,0,FBI
150567,MI82349,Detroit,Municipal Police,Wayne,Michigan,1987,December,10,Murder or Manslaughter,Yes,Male,29,Black,Unknown,Male,25,Black,Unknown,Acquaintance,Handgun,0,0,FBI
545345,PA02302,Bethel Township,Municipal Police,Delaware,Pennsylvania,2008,April,1,Murder or Manslaughter,Yes,Female,36,White,Not Hispanic,Male,37,White,Not Hispanic,Wife,Knife,0,0,FBI
125289,CO02101,Colorado Springs,Municipal Police,El Paso,Colorado,1986,November,2,Murder or Manslaughter,Yes,Male,20,Black,Not Hispanic,Male,22,White,Hispanic,Stranger,Handgun,0,2,FBI
263198,TX12301,Beaumont,Municipal Police,Jefferson,Texas,1992,April,1,Murder or Manslaughter,Yes,Male,34,Black,Not Hispanic,Male,37,Black,Not Hispanic,Acquaintance,Handgun,0,0,FBI
487267,GA04402,Dekalb County,County Police,De Kalb,Georgia,2005,May,4,Murder or Manslaughter,No,Male,34,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
150391,MI82349,Detroit,Municipal Police,Wayne,Michigan,1987,September,19,Murder or Manslaughter,Yes,Male,33,White,Unknown,Male,27,White,Unknown,Acquaintance,Handgun,0,1,FBI
103004,AL05701,Phenix City,Municipal Police,Russell,Alabama,1985,May,2,Murder or Manslaughter,No,Male,29,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Knife,0,0,FBI
602441,MDBPD00,Baltimore,Municipal Police,Baltimore city,Maryland,2013,January,4,Murder or Manslaughter,Yes,Male,29,Black,Not Hispanic,Male,42,Black,Not Hispanic,Acquaintance,Knife,0,0,FBI
497109,TXDPD00,Dallas,Municipal Police,Dallas,Texas,2005,May,1,Murder or Manslaughter,No,Male,32,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Gun,0,0,FBI
377378,ILCPD00,Chicago,Municipal Police,Cook,Illinois,1998,April,21,Murder or Manslaughter,No,Male,24,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
92122,MA00311,New Bedford,Municipal Police,Bristol,Massachusetts,1984,February,1,Murder or Manslaughter,Yes,Female,22,White,Not Hispanic,Male,23,White,Not Hispanic,Sister,Shotgun,0,0,FBI
616290,MI39499,Kalamazoo,Municipal Police,Kalamazoo,Michigan,2012,October,1,Murder or Manslaughter,Yes,Male,23,Black,Unknown,Male,19,Black,Unknown,Unknown,Firearm,0,0,FBI
588447,NC03201,Durham,Municipal Police,Durham,North Carolina,2011,April,3,Murder or Manslaughter,Yes,Male,21,Black,Unknown,Male,19,White,Unknown,Unknown,Handgun,0,0,FBI
336530,CA01900,Los Angeles,Sheriff,Los Angeles,California,1996,January,17,Murder or Manslaughter,Yes,Male,20,White,Hispanic,Male,20,White,Hispanic,Unknown,Handgun,0,0,FBI
323373,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,1995,March,6,Murder or Manslaughter,Yes,Female,17,Black,Unknown,Male,18,Black,Unknown,Stranger,Handgun,4,0,FBI
609647,VA11400,Lynchburg,Municipal Police,Lynchburg,Virginia,2013,April,1,Murder or Manslaughter,Yes,Male,2,Black,Unknown,Male,38,Black,Unknown,Unknown,Unknown,0,0,FBI
466100,AR06002,Little Rock,Municipal Police,Pulaski,Arkansas,2004,October,36,Murder or Manslaughter,Yes,Male,14,Black,Unknown,Male,22,Black,Unknown,Unknown,Handgun,0,0,FBI
608746,TX22001,Arlington,Municipal Police,Tarrant,Texas,2013,January,1,Murder or Manslaughter,Yes,Male,26,Black,Not Hispanic,Male,24,Black,Not Hispanic,Unknown,Rifle,0,0,FBI
323419,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,1995,January,27,Murder or Manslaughter,No,Male,27,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
89091,FL01300,Miami-Dade,County Police,Dade,Florida,1984,October,7,Murder or Manslaughter,Yes,Male,33,Black,Not Hispanic,Female,30,Black,Not Hispanic,Husband,Handgun,0,0,FBI
28091,FL01300,Miami-Dade,County Police,Dade,Florida,1981,November,17,Murder or Manslaughter,No,Female,99,White,Hispanic,Unknown,0,Unknown,Unknown,Unknown,Firearm,5,0,FBI
28497,FL01602,Jacksonville,Municipal Police,Duval,Florida,1981,June,6,Murder or Manslaughter,No,Male,26,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
58215,NY03030,New York,Municipal Police,New York,New York,1982,June,25,Murder or Manslaughter,No,Male,45,White,Hispanic,Unknown,0,Unknown,Unknown,Stranger,Handgun,0,0,FBI
72686,KY072SP,State Police: Lyon County,State Police,Lyon,Kentucky,1983,October,1,Murder or Manslaughter,No,Male,26,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Knife,0,0,FBI
125585,CT00138,Stratford,Municipal Police,Fairfield,Connecticut,1986,December,1,Murder or Manslaughter,Yes,Female,76,Black,Not Hispanic,Female,26,Black,Not Hispanic,Family,Knife,0,0,FBI
283732,NY03030,New York,Municipal Police,New York,New York,1993,December,3,Murder or Manslaughter,Yes,Male,24,Black,Unknown,Male,23,Black,Unknown,Unknown,Handgun,1,0,FBI
549173,AL02900,Elmore,Sheriff,Elmore,Alabama,2009,January,1,Murder or Manslaughter,Yes,Male,35,Black,Unknown,Male,33,Unknown,Unknown,Unknown,Handgun,0,0,FBI
203402,CA05407,Visalia,Municipal Police,Tulare,California,1990,May,1,Murder or Manslaughter,Yes,Male,43,White,Hispanic,Male,25,White,Hispanic,Unknown,Shotgun,0,0,FBI
277041,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,1993,May,14,Murder or Manslaughter,No,Male,36,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
228689,KY115SP,State Police: Washington County,State Police,Washington,Kentucky,1991,December,1,Murder or Manslaughter,Yes,Male,30,Black,Unknown,Female,36,Black,Unknown,Unknown,Handgun,0,0,FBI
568926,FL05208,Largo,Municipal Police,Pinellas,Florida,2010,October,629,Murder or Manslaughter,Yes,Female,26,White,Unknown,Male,37,White,Unknown,Unknown,Fire,0,0,FOIA
434901,CA01942,Los Angeles,Municipal Police,Los Angeles,California,2002,June,10,Murder or Manslaughter,No,Male,17,White,Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
501826,CA03603,Colton,Municipal Police,San Bernardino,California,2006,October,1,Murder or Manslaughter,Yes,Male,18,White,Hispanic,Male,18,White,Hispanic,Stranger,Handgun,1,0,FBI
44036,WI03000,Kenosha,Sheriff,Kenosha,Wisconsin,1981,June,1,Murder or Manslaughter,Yes,Female,33,White,Not Hispanic,Male,34,White,Not Hispanic,Wife,Unknown,0,0,FBI
311677,TXDPD00,Dallas,Municipal Police,Dallas,Texas,1994,July,9,Murder or Manslaughter,Yes,Male,35,Black,Not Hispanic,Female,39,Black,Not Hispanic,Friend,Handgun,0,0,FBI
399628,SC01500,Colleton,Sheriff,Colleton,South Carolina,1999,May,1,Murder or Manslaughter,Yes,Male,26,Black,Unknown,Male,23,Black,Unknown,Unknown,Handgun,0,5,FBI
80899,TN01901,Nashville,Municipal Police,Davidson,Tennessee,1983,November,5,Murder or Manslaughter,Yes,Female,20,Black,Not Hispanic,Male,22,Black,Not Hispanic,Wife,Handgun,0,1,FBI
292768,CA01915,Compton,Municipal Police,Los Angeles,California,1994,June,4,Murder or Manslaughter,Yes,Male,37,Black,Not Hispanic,Male,40,Black,Not Hispanic,Unknown,Handgun,0,0,FBI
85178,AZ00723,Phoenix,Municipal Police,Maricopa,Arizona,1984,February,4,Murder or Manslaughter,Yes,Female,3,White,Not Hispanic,Male,34,White,Not Hispanic,Wife,Handgun,0,0,FBI
608855,TX22701,Austin,Municipal Police,Travis,Texas,2013,April,2,Murder or Manslaughter,Yes,Male,54,White,Unknown,Male,31,White,Unknown,Stranger,Handgun,0,3,FBI
633115,NM00101,Albuquerque,Municipal Police,Bernalillo,New Mexico,2014,May,3,Murder or Manslaughter,No,Male,30,Native American/Alaska Native,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
378498,LA00901,Shreveport,Municipal Police,Caddo,Louisiana,1998,September,3,Murder or Manslaughter,Yes,Male,27,Black,Unknown,Male,41,Black,Unknown,Acquaintance,Handgun,0,0,FBI
572104,MI39499,Kalamazoo,Municipal Police,Kalamazoo,Michigan,2010,March,1,Murder or Manslaughter,Yes,Male,50,White,Unknown,Male,31,White,Unknown,Acquaintance,Blunt Object,0,1,FBI
78177,NY03030,New York,Municipal Police,New York,New York,1983,September,135,Murder or Manslaughter,Yes,Male,24,White,Unknown,Male,18,White,Unknown,Stranger,Knife,0,0,FBI
238997,TX10109,Humble,Municipal Police,Harris,Texas,1991,September,1,Murder or Manslaughter,Yes,Female,28,Black,Not Hispanic,Male,23,Black,Not Hispanic,Neighbor,Knife,1,0,FBI
327964,NY03030,New York,Municipal Police,New York,New York,1995,October,18,Murder or Manslaughter,Yes,Male,14,White,Unknown,Male,17,White,Unknown,Unknown,Handgun,5,5,FBI
227930,ILCPD00,Chicago,Municipal Police,Cook,Illinois,1991,December,30,Murder or Manslaughter,Yes,Female,32,Black,Unknown,Male,36,Black,Unknown,Girlfriend,Knife,0,0,FBI
163128,CA03600,San Bernardino,Sheriff,San Bernardino,California,1988,August,5,Murder or Manslaughter,Yes,Male,25,White,Not Hispanic,Male,50,White,Not Hispanic,Unknown,Rifle,0,0,FBI
146671,FL03601,Fort Myers,Municipal Police,Lee,Florida,1987,December,2,Murder or Manslaughter,Yes,Female,38,Black,Unknown,Male,40,Black,Unknown,Wife,Rifle,0,0,FBI
490884,MO07900,Perry,Sheriff,Perry,Missouri,2005,August,1,Manslaughter by Negligence,Yes,Male,4,White,Unknown,Male,25,White,Unknown,Son,Unknown,0,1,FBI
62039,TX00304,Lufkin,Municipal Police,Angelina,Texas,1982,July,1,Murder or Manslaughter,Yes,Male,34,Black,Not Hispanic,Male,45,Black,Not Hispanic,Ex-Husband,Handgun,1,0,FBI
241663,VA12200,Richmond,Municipal Police,Richmond,Virginia,1991,February,4,Murder or Manslaughter,No,Male,26,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
322324,ILCPD00,Chicago,Municipal Police,Cook,Illinois,1995,December,38,Murder or Manslaughter,Yes,Female,49,Black,Unknown,Male,18,Black,Unknown,Family,Knife,0,0,FBI
159785,WV01000,Fayette,Sheriff,Fayette,West Virginia,1987,February,1,Murder or Manslaughter,Yes,Female,73,Black,Unknown,Male,17,White,Unknown,Neighbor,Knife,0,0,FBI
638281,WIMPD00,Milwaukee,Municipal Police,Milwaukee,Wisconsin,2014,February,1,Murder or Manslaughter,Yes,Male,22,Black,Unknown,Male,20,Black,Unknown,Unknown,Handgun,0,0,FBI
243122,AR07303,Beebe,Municipal Police,White,Arkansas,1992,July,1,Murder or Manslaughter,Yes,Male,44,White,Not Hispanic,Female,26,White,Not Hispanic,Husband,Handgun,0,0,FBI
274964,IL10104,Rockford,Municipal Police,Winnebago,Illinois,1993,January,3,Murder or Manslaughter,Yes,Female,20,Black,Unknown,Male,21,Black,Unknown,Wife,Handgun,0,0,FBI
463816,TX20001,Ballinger,Municipal Police,Runnels,Texas,2003,September,1,Murder or Manslaughter,Yes,Female,28,White,Not Hispanic,Male,26,White,Not Hispanic,Wife,Strangulation,0,0,FBI
475797,NJ00706,East Orange,Municipal Police,Essex,New Jersey,2004,September,4,Murder or Manslaughter,No,Male,21,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
